station,station_name,lon,lat,elev,variable,valid_months,start,end
3017282,WETASKIWIN,-113.45,52.98,774,tas,1324,1902-11-01,2021-12-01
2400305,ALERT,-62.33,82.5,65,tas,853,1950-07-01,2021-12-01
7027259,ST_FLAVIEN,-71.57,46.48,137,tas,625,1963-01-01,2016-08-01
7025442,NICOLET,-72.65,46.23,8,tas,1241,1913-11-01,2021-12-01
8201390,TRURO,-63.47,45.42,38,tas,1708,1873-01-01,2021-12-01
2203914,TUKTOYAKTUK,-133.02,69.43,5,tas,720,1957-06-01,2021-12-01
7018001,SHAWINIGAN,-72.73,46.57,110,tas,1300,1902-07-01,2021-12-01
6163171,HALIBURTON,-78.53,45.03,330,tas,1548,1888-06-01,2021-12-01
7050762,BIC,-68.67,48.4,23,tas,688,1921-05-01,1985-01-01
2100701,MAYO,-135.87,63.62,504,tas,1138,1924-10-01,2021-12-01
8401251,COLINET,-53.52,47.23,55,tas,641,1938-08-01,1996-09-01
1046391,POWELL_RIVER_A,-124.5,49.83,130,tas,733,1954-01-01,2021-12-01
1073615,HOUSTON,-126.67,54.4,610,tas,394,1988-09-01,2021-12-01
1130771,BEAVERDELL,-119.05,49.48,838,tas,707,1939-01-01,2006-09-01
6101874,CORNWALL,-74.75,45.02,64,tas,836,1950-11-01,2021-12-01
2101303,WHITEHORSE_A,-135.07,60.72,706,tas,935,1942-04-01,2021-12-01
6147188,KITCHENER,-80.47,43.35,328,tas,1250,1914-10-01,2021-12-01
1077501,SMITHERS,-127.18,54.82,518,tas,1191,1922-06-01,2021-12-01
50220M0,NINETTE,-99.65,49.42,419,tas,939,1911-12-01,1996-05-01
1026271,PORT_HARDY,-127.37,50.68,22,tas,932,1944-05-01,2021-12-01
7022800,GRANBY,-72.72,45.38,175,tas,777,1948-06-01,2021-11-01
7031315,CHARTERIS,-76.43,45.68,168,tas,442,1980-05-01,2021-11-01
2401030,DEWAR_LAKES,-71.17,68.65,527,tas,684,1958-02-01,2021-12-01
2300501,BAKER_LAKE,-96.0,64.32,51,tas,875,1946-02-01,2021-12-01
503B1ER,PINAWA,-96.07,50.18,268,tas,1270,1915-06-01,2021-12-01
3061201,CAMPSIE,-114.68,54.13,647,tas,1295,1912-09-01,2021-12-01
7080600,BELLETERRE,-78.7,47.38,322,tas,574,1951-09-01,2004-04-01
6057591,SAULT_STE_MARIE,-84.52,46.48,192,tas,885,1945-06-01,2021-12-01
6111792,COLLINGWOOD,-80.22,44.5,180,tas,1222,1881-08-01,2021-12-01
1114746,LYTTON,-121.58,50.22,225,tas,901,1944-08-01,2021-12-01
1088015,TATLAYOKO_LAKE,-124.4,51.67,875,tas,1083,1930-01-01,2021-12-01
1018621,VICTORIA,-123.43,48.65,20,tas,1480,1898-08-01,2021-12-01
6068145,SUDBURY,-80.8,46.63,348,tas,876,1947-09-01,2021-12-01
7050200,ANTICOSTI_SW_POINT,-63.55,49.4,7,tas,885,1880-05-01,1954-10-01
7018563,TROIS_RIVIERES,-72.68,46.37,62,tas,993,1934-11-01,2021-12-01
1123750,JOE_RICH_CREEK,-119.13,49.85,875,tas,704,1948-06-01,2008-12-01
6012199,EAR_FALLS,-93.22,50.63,363,tas,929,1928-10-01,2021-12-01
2100301,CARMACKS,-136.2,62.12,543,tas,652,1963-08-01,2021-12-01
5012324,PORTAGE_SOUTHPORT,-98.28,49.9,273,tas,865,1941-07-01,2021-12-01
6104027,KEMPTVILLE,-75.63,45.0,99,tas,1065,1928-11-01,2021-12-01
5010641,CYPRESS_RIVER,-99.07,49.57,374,tas,867,1949-01-01,2021-12-01
6022474,FORT_FRANCES,-93.43,48.65,342,tas,1246,1917-01-01,2021-12-01
7020860,BROMPTONVILLE,-71.95,45.48,130,tas,672,1957-06-01,2021-11-01
3036682,VAUXHALL,-112.13,50.05,779,tas,1124,1913-10-01,2021-12-01
5052890,THE_PAS,-101.1,53.97,274,tas,1326,1910-06-01,2021-12-01
2503648,SACHS_HARBOUR,-125.25,72.0,88,tas,746,1955-11-01,2021-12-01
8105210,SUSSEX,-65.53,45.75,47,tas,1410,1897-10-01,2021-12-01
3053250,HIGH_RIVER,-114.37,50.55,1580,tas,1151,1902-08-01,2011-09-01
5021920,MORRIS,-97.37,49.35,235,tas,798,1915-09-01,1987-10-01
7027302,ST_GUILLAUME,-72.77,45.88,44,tas,588,1963-01-01,2015-10-01
1026639,QUINSAM_RIVER,-125.3,50.02,46,tas,729,1958-07-01,2021-12-01
1128553,VERNON_BELLA_VISTA,-119.32,50.27,427,tas,915,1919-12-01,2017-12-01
3032801,GLEICHEN,-112.93,50.93,907,tas,1355,1903-07-01,2021-12-01
8205092,SHEARWATER_A,-63.52,44.63,24,tas,821,1953-01-01,2021-12-01
6158355,TORONTO,-79.4,43.67,113,tas,2180,1840-03-01,2021-12-01
3025768,SCHULER,-110.08,50.3,800,tas,469,1981-11-01,2021-12-01
7040815,LOURDES_DE_BLANC_SA_,-57.18,51.45,37,tas,463,1982-08-01,2021-12-01
6106367,PEMBROKE_CLIMATE,-77.25,45.87,161,tas,1390,1866-02-01,2021-12-01
8101746,ALMA_(Fundy_Park),-64.95,45.6,43,tas,829,1950-02-01,2021-12-01
1092975,FORT_ST_JAMES,-124.28,54.45,688,tas,1514,1895-01-01,2021-12-01
8402958,PLUM_POINT,-56.88,51.07,6,tas,539,1972-07-01,2019-07-01
40318MN,CORONACH,-105.48,49.05,756,tas,709,1961-07-01,2021-12-01
8401405,DANIELS_HARBOUR,-57.58,50.23,19,tas,842,1946-11-01,2021-12-01
2403204,POND_INLET,-77.95,72.7,65,tas,848,1922-10-01,2021-12-01
7028123,SHERBROOKE,-71.68,45.43,241,tas,1138,1923-05-01,2021-12-01
4028038,SWIFT_CURRENT,-107.68,50.3,817,tas,1627,1885-12-01,2021-12-01
7091299,CHAPAIS,-74.98,49.82,381,tas,661,1962-05-01,2021-12-01
1158730,WASA,-115.63,49.8,970,tas,389,1983-07-01,2017-12-01
7038975,WRIGHT,-76.05,46.07,142,tas,626,1967-10-01,2021-11-01
5010240,BIRTLE,-101.05,50.43,522,tas,1006,1904-06-01,2000-06-01
7024920,MILAN,-71.12,45.58,482,tas,770,1949-10-01,2015-10-01
6135657,NIAGARA_FALLS,-79.05,43.13,175,tas,723,1942-07-01,2011-06-01
406QLD0,URANIUM_CITY,-108.48,59.57,318,tas,663,1953-01-01,2021-12-01
7024440,MAGOG,-72.12,45.27,274,tas,811,1949-11-01,2021-11-01
2301102,ENNADAI_LAKE,-100.88,61.13,353,tas,613,1949-10-01,2021-12-01
1192948,FORT_NELSON,-122.57,58.83,380,tas,1007,1937-09-01,2021-12-01
8402980,PORT_AUXBASQUES,-59.15,47.57,40,tas,1018,1909-02-01,2021-12-01
7022160,DRUMMONDVILLE,-72.48,45.88,82,tas,1211,1913-11-01,2018-10-01
2202102,FORT_SIMPSON,-121.23,61.77,168,tas,1397,1895-11-01,2021-12-01
7026612,RIVIERE_DES_PRAIRIE,-73.5,45.7,9,tas,557,1973-01-01,2021-11-01
1152850,FERNIE,-115.07,49.48,1001,tas,1252,1913-12-01,2021-12-01
7020567,BEAUSEJOUR,-71.17,46.67,107,tas,520,1975-08-01,2019-11-01
6032125,DRYDEN,-92.75,49.83,413,tas,1262,1914-01-01,2021-12-01
8104700,ST_GEORGE,-66.83,45.13,34,tas,705,1919-07-01,1981-06-01
7054096,LA_POCATIERE,-70.03,47.35,31,tas,1287,1913-01-01,2021-12-01
1106178,NEW_WESTMINSTER,-122.68,49.2,5,tas,1426,1874-09-01,2021-12-01
2302340,GJOA_HAVEN_CLIMATE,-95.85,68.63,42,tas,428,1984-08-01,2021-12-01
6127519,SARNIA,-82.3,43.0,181,tas,634,1968-01-01,2021-12-01
7031360,CHELSEA,-75.78,45.52,113,tas,1073,1927-09-01,2021-11-01
5012654,SHOAL_LAKE_CS,-100.6,50.45,561,tas,709,1962-06-01,2021-12-01
4021600,CODERRE,-106.37,50.13,685,tas,588,1948-04-01,2008-01-01
1125700,OKANAGAN_CENTRE,-119.45,50.05,370,tas,1072,1926-01-01,2021-12-01
1133300,GREENWOOD,-118.68,49.1,763,tas,759,1911-06-01,1990-08-01
6059407,WAWA,-84.78,47.97,288,tas,865,1940-03-01,2016-06-01
3010890,BROWNFIELD,-111.47,52.32,755,tas,608,1958-09-01,2009-06-01
3031322,CARDSTON,-113.28,49.2,1136,tas,1162,1918-08-01,2021-12-01
4012410,ESTEVAN,-102.97,49.22,581,tas,1242,1900-06-01,2021-12-01
7028680,VALLEYFIELD,-74.1,45.28,46,tas,694,1952-02-01,2016-10-01
5061375,ISLAND_LAKE_A,-94.65,53.85,235,tas,565,1970-12-01,2019-08-01
4061629,COLLINS_BAY,-103.72,58.18,490,tas,501,1972-09-01,2018-04-01
8203702,NAPPAN,-64.23,45.77,20,tas,1296,1913-10-01,2021-12-01
7027329,ST_HUBERT_MONT_,-73.42,45.52,27,tas,823,1953-01-01,2021-12-01
7113535,KUUJJUAQ,-68.42,58.08,40,tas,894,1947-03-01,2021-12-01
1064020,KEMANO,-127.95,53.57,66,tas,789,1951-08-01,2021-12-01
1108446,VANCOUVER_HARBOUR_CS,-123.12,49.3,3,tas,1195,1898-10-01,2021-12-01
7015730,OKA,-74.07,45.5,91,tas,921,1937-08-01,2021-11-01
8201601,DIGBY,-65.78,44.55,152,tas,920,1898-12-01,1997-05-01
7063560,LAC_BOUCHETTE,-72.17,48.22,358,tas,761,1949-08-01,2015-09-01
4068559,WASKESIU_LAKE,-106.07,53.92,569,tas,648,1966-01-01,2021-12-01
3055119,PEKISKO,-114.42,50.37,1415,tas,1221,1905-07-01,2021-12-01
3054843,NORDEGG,-116.03,52.5,1332,tas,669,1960-09-01,2021-12-01
7091410,CHIBOUGAMAU,-74.53,49.78,381,tas,1208,1885-01-01,2021-12-01
7027361,ST_HYACINTHE,-72.92,45.57,33,tas,967,1935-01-01,2021-11-01
7077570,ST_MICHEL_DES_SAIN,-73.92,46.68,351,tas,582,1966-11-01,2021-11-01
3031402,CARWAY,-113.38,49.0,1354,tas,1157,1914-08-01,2021-12-01
6124700,LUCKNOW,-81.5,43.95,290,tas,1260,1886-06-01,1993-12-01
2202402,HAY_RIVER,-115.78,60.83,164,tas,1497,1893-09-01,2021-12-01
7023075,HEMMINGFORD_FOUR,-73.72,45.07,61,tas,699,1960-07-01,2021-11-01
6136699,ST_CATHARINES,-79.22,43.25,79,tas,1097,1911-01-01,2021-12-01
5012960,VIRDEN,-100.95,49.83,445,tas,921,1890-10-01,2005-03-01
6134190,LEAMINGTON,-82.67,42.05,200,tas,1255,1916-03-01,2021-12-01
5061649,LYNN_LAKE,-101.07,56.85,354,tas,782,1952-04-01,2021-12-01
6142400,FERGUS_SHAND_DAM,-80.33,43.73,418,tas,971,1939-10-01,2021-12-01
6136335,PELEE_ISLAND,-82.68,41.75,175,tas,1006,1889-10-01,1987-08-01
8502400,HOPEDALE,-60.22,55.45,12,tas,781,1942-01-01,2021-12-01
7066820,ST_AMBROISE,-71.33,48.57,122,tas,760,1954-09-01,2021-11-01
4014156,LAST_MOUNTAIN_CS,-105.25,51.42,497,tas,542,1975-05-01,2021-12-01
810I001,GRAND_FALLS_,-67.83,47.15,245,tas,1039,1914-03-01,2017-02-01
2101310,WHITEHORSE,-135.1,60.73,707,tas,709,1959-02-01,2021-12-01
2401199,EUREKA,-85.93,79.98,10,tas,893,1947-05-01,2021-12-01
8400801,BURGEO,-57.62,47.62,11,tas,630,1966-11-01,2021-12-01
1145442,NELSON,-117.2,49.58,570,tas,1319,1904-01-01,2021-12-01
7053649,LAC_HUMQUI,-67.57,48.28,236,tas,580,1972-12-01,2021-11-01
10476F0,SQUAMISH,-123.17,49.78,54,tas,446,1983-04-01,2021-12-01
7075800,PARENT,-74.62,47.92,445,tas,720,1943-07-01,2021-12-01
6142803,GLEN_ALLAN,-80.72,43.68,400,tas,681,1958-08-01,2021-12-01
1140876,GRAND_FORKS,-118.23,49.02,519,tas,1292,1911-03-01,2021-12-01
250M001,MOULD_BAY,-119.35,76.23,2,tas,833,1948-05-01,2021-12-01
8400698,BUCHANS,-56.87,48.82,270,tas,752,1943-11-01,2011-06-01
1125766,OLIVER_STP,-119.55,49.18,297,tas,791,1955-01-01,2021-12-01
7098603,VAL_D_OR,-77.78,48.05,339,tas,832,1951-07-01,2021-12-01
6105978,OTTAWA,-75.72,45.38,79,tas,1581,1889-11-01,2021-12-01
7080468,TEMISCAMINGUE,-79.1,46.72,181,tas,1259,1910-04-01,2021-12-01
5022759,SPRAGUE,-95.6,49.02,329,tas,1261,1915-09-01,2021-12-01
4067799,STONY_RAPIDS,-105.83,59.25,244,tas,423,1986-07-01,2021-12-01
1168520,VAVENBY,-119.78,51.58,445,tas,1294,1913-04-01,2021-12-01
8403097,ROCKY_HARBOUR,-57.88,49.57,68,tas,488,1972-07-01,2013-12-01
7060080,ALBANEL,-72.45,48.88,152,tas,793,1922-06-01,1991-01-01
2402684,LONGSTAFF_BLUFF,-75.13,68.9,161,tas,559,1958-06-01,2021-12-01
8105603,WOODSTOCK,-67.55,46.15,154,tas,1149,1914-03-01,2021-12-01
1021480,CHATHAM_POINT,-125.45,50.33,23,tas,684,1958-07-01,2021-12-01
7016800,ST_ALBAN,-72.08,46.72,76,tas,846,1949-09-01,2021-11-01
501A7AR,MELITA,-100.98,49.28,446,tas,1002,1933-01-01,2021-12-01
1125852,OSOYOOS,-119.43,49.03,283,tas,738,1954-04-01,2021-12-01
4055079,MELFORT,-104.6,52.82,490,tas,1370,1901-10-01,2021-12-01
8100593,BUCTOUCHE,-64.77,46.43,36,tas,658,1965-10-01,2021-10-01
4021520,CHAPLIN,-106.65,50.47,672,tas,1172,1893-01-01,1995-09-01
2303405,RANKIN_INLET_A,-92.12,62.82,32,tas,489,1981-01-01,2021-12-01
2301002,CORAL_HARBOUR,-83.37,64.2,62,tas,896,1945-03-01,2021-12-01
7043960,LA_MALBAIE,-70.15,47.67,23,tas,904,1915-07-01,2004-04-01
3075041,PEACE_RIVER,-117.45,56.23,571,tas,1126,1907-10-01,2021-12-01
7024280,LENNOXVILLE,-71.82,45.37,181,tas,1264,1915-01-01,2021-12-01
2303094,KUGAARUK_CLIMATE,-89.8,68.53,16,tas,730,1957-08-01,2021-12-01
1126146,PENTICTON,-119.6,49.47,344,tas,1369,1907-04-01,2021-12-01
6014353,LANSDOWNE_HOUSE,-87.93,52.2,253,tas,899,1941-03-01,2021-12-01
112FN0M,PRINCETON,-120.52,49.47,697,tas,1506,1893-07-01,2021-12-01
7057567,SAINT_MICHEL,-70.88,46.87,69,tas,507,1978-09-01,2021-11-01
8401298,CORNER_BROOK,-57.92,48.93,152,tas,1025,1933-04-01,2021-12-01
2403602,RESOLUTION_ISLAND,-64.65,61.58,369,tas,773,1929-10-01,2021-12-01
7027520,ST_MALO_D_AUCKL_,-71.5,45.2,564,tas,830,1949-09-01,2021-11-01
3044232,MASINASIN,-111.65,49.13,948,tas,462,1981-09-01,2021-12-01
7037400,ST_JEROME,-74.05,45.8,170,tas,997,1932-05-01,2021-11-01
6034073,KENORA,-94.38,49.78,413,tas,1427,1899-09-01,2021-12-01
8206491,YARMOUTH,-66.08,43.83,36,tas,1690,1879-08-01,2021-12-01
6104142,KINGSTON,-76.6,44.22,93,tas,1620,1872-07-01,2021-12-01
3011240,CAMROSE,-112.82,53.05,739,tas,881,1946-03-01,2021-12-01
2202000,FORT_RESOLUTION,-113.68,61.18,160,tas,984,1911-08-01,2014-11-01
6041110,CAMERON_FALLS,-88.35,49.15,233,tas,1135,1924-06-01,2021-12-01
7067658,ST_PRIME,-72.42,48.62,122,tas,489,1980-11-01,2021-11-01
3031000,CALDWELL,-113.63,49.17,1286,tas,652,1932-04-01,1990-11-01
3033875,LETHBRIDGE_A,-112.8,49.63,929,tas,1002,1938-01-01,2021-12-01
3030838,BROOKS_AHRC,-111.9,50.58,755,tas,683,1912-04-01,1980-05-01
3072723,FORT_VERMILION,-116.03,58.38,289,tas,1189,1908-07-01,2021-12-01
5060520,BROCHET,-101.68,57.88,346,tas,584,1948-08-01,2009-09-01
6139148,VINELAND,-79.4,43.18,79,tas,1136,1924-09-01,2021-12-01
1036572,QUATSINO,-128.03,50.43,21,tas,1430,1895-06-01,2021-10-01
7065639,NORMANDIN,-72.55,48.85,137,tas,998,1936-07-01,2021-12-01
1123939,KELOWNA,-119.38,49.95,433,tas,1454,1899-03-01,2021-12-01
1176755,REVELSTOKE,-118.18,50.95,445,tas,1363,1898-05-01,2021-12-01
7027840,SCOTT,-71.08,46.5,145,tas,809,1950-11-01,2021-11-01
1171393,CARIBOO_LODGE,-119.47,52.72,1096,tas,1104,1914-01-01,2016-10-01
2400660,CAPE_HOOPER,-66.82,68.47,390,tas,684,1957-01-01,2021-12-01
6116257,PARRY_SOUND,-80.05,45.35,176,tas,1570,1875-11-01,2021-12-01
7034482,MANIWAKI,-76.0,46.27,200,tas,1221,1914-06-01,2021-12-01
8204193,UPPER_STEWIACKE,-63.05,45.23,24,tas,1247,1915-11-01,2021-12-01
3065997,SLAVE_LAKE,-114.78,55.3,583,tas,1060,1922-08-01,2021-12-01
6144478,LONDON,-81.15,43.03,278,tas,1659,1883-03-01,2021-12-01
2204200,YELLOWKNIFE_HYDRO,-114.25,62.67,159,tas,596,1943-01-01,2000-06-01
3035198,PINCHER_CREEK,-114.0,49.52,1190,tas,1437,1893-08-01,2021-12-01
1098941,WILLIAMS_LAKE,-122.05,52.18,940,tas,977,1939-01-01,2021-12-01
3025481,RED_DEER_A,-113.9,52.18,905,tas,981,1938-02-01,2019-12-01
5030080,ARBORG,-97.08,50.93,224,tas,655,1960-11-01,2016-06-01
8501900,GOOSE,-60.42,53.32,49,tas,961,1941-12-01,2021-12-01
4028060,SWIFT_CURRENT_CDA,-107.73,50.27,825,tas,754,1959-01-01,2021-12-01
1091174,BURNS_LAKE,-125.97,54.38,713,tas,771,1949-03-01,2021-12-01
